Date,Maximum,Minimum,Average,Volatility
20150105,46150,46100,46125,-420
20150106,45750,45720,45735,-390
20150107,45660,45630,45645,-90
20150108,45640,45590,45615,-30
20150109,45300,45250,45275,-340
20150112,44970,44930,44950,-325
20150113,44360,44330,44345,-605
20150114,41780,41700,41740,-2605
20150115,41620,41550,41585,-155
20150116,41240,41190,41215,-370
20150119,41930,41890,41910,695
20150120,41780,41740,41760,-150
20150121,41720,41670,41695,-65
20150122,41970,41940,41955,260
20150123,41480,41440,41460,-495
20150126,40370,40330,40350,-1110
20150127,40690,40670,40680,330
20150128,40080,40060,40070,-610
20150129,40160,40140,40150,80
20150130,39960,39940,39950,-200
20150202,40460,40440,40450,500
20150203,40770,40750,40760,310
20150204,41800,41780,41790,1030
20150205,41310,41280,41295,-495
20150206,41710,41690,41700,405
20150209,41310,41280,41295,-405
20150210,41410,41390,41400,105
20150211,41040,41020,41030,-370
20150212,40940,40920,40930,-100
20150213,41680,41640,41660,730
20150216,41700,41640,41670,10
20150217,41880,41840,41860,190
20150225,42100,42030,42065,205
20150226,42160,42050,42105,40
20150227,42640,42590,42615,510
20150302,42910,42860,42885,270
20150303,42530,42490,42510,-375
20150304,42610,42580,42595,85
20150305,42530,42500,42515,-80
20150306,42440,42400,42420,-95
20150309,41940,41900,41920,-500
20150310,42600,42570,42585,665
20150311,42230,42190,42210,-375
20150312,42000,41970,41985,-225
20150313,42780,42750,42765,780
20150316,42650,42620,42635,-130
20150317,42540,42500,42520,- 115
20150318,42290,42260,42275,-245
20150319,41690,41660,41675,-600
20150320,42290,42250,42270,595
20150323,43430,43390,43410,1140
20150324,43700,43670,43685,275
20150325,43500,43470,43485,-200
20150326,43780,43740,43760,275
20150327,43530,43510,43520,-240
20150330,43760,43720,43740,220
20150331,43640,43610,43625,-115
20150401,43430,43410,43420,-205
20150402,43540,43520,43530,110
20150403,43580,43540,43560,30
20150407,43620,43600,43610,50
20150408,43660,43640,43650,40
20150409,43490,43470,43480,-170
20150410,43650,43630,43640,160
20150413,43770,43750,43760,120
20150414,43580,43550,43565,-195
20150415,43190,43170,43180,-385
20150416,43560,43540,43550,370
20150417,43900,43880,43890,340
20150420,44110,44090,44100,210
20150421,43690,43670,43680,-420
20150422,43550,43530,43540,-140
20150423,43520,43500,43510,-30
20150424,43750,43730,43740,230
20150427,44230,44210,44220,480
20150428,44210,44190,44200,-20
20150429,44200,44180,44190,-10
20150430,44420,44370,44395,205
20150504,45820,45770,45795,1400
20150505,45970,45940,45955,160
20150506,46140,46100,46120,165
20150507,45880,45860,45870,-250
20150508,46020,46000,46010,140
20150511,45850,45830,45840,-170
20150512,45860,45840,45850,10
20150513,46190,46160,46175,325
20150514,46090,46070,46080,-95
20150515,45960,45940,45950,-130
20150518,46170,46130,46150,200
20150519,46000,45960,45980,-170
20150520,45200,45160,45180,-800
20150521,45340,45310,45325,145
20150522,45270,45250,45260,-65
20150525,44850,44830,44840,-420
20150526,44990,44970,44980,140
20150527,44430,44410,44420,-560
20150528,44380,44360,44370,-50
20150529,44500,44480,44490,120
20150601,44010,43990,44000,-490
20150602,43840,43820,43830,-170
20150603,44030,44010,44020,190
20150604,43720,43700,43710,-310
20150605,43150,43130,43140,-570
20150608,43440,43420,43430,290
20150609,43450,43430,43440,10
20150610,43580,43560,43570,130
20150611,43910,43890,43900,330
20150612,43070,43050,43060,-840
20150615,42900,42880,42890,-170
20150616,42530,42510,42520,-370
20150617,42270,42250,42260,-260
20150618,42340,42320,42330,70
20150619,42290,42270,42280,-50
20150623,42370,42350,42360,80
20150624,42410,42390,42400,40
20150625,42390,42370,42380,-20
20150626,42480,42460,42470,90
20150629,42720,42700,42710,240
20150630,42820,42800,42810,100
20150701,42600,42570,42585,-225
20150702,42800,42820,42810,225
20150703,42790,42770,42780,-30
20150706,42390,42370,42380,-400
20150707,41430,41410,41420,-960
20150708,39750,39730,39740,-1680
20150709,41550,41520,41535,1795
20150710,41700,41680,41690,155
20150713,41050,41030,41040,-650
20150714,41230,41210,41220,180
20150715,41390,41360,41375,155
20150716,40980,40960,40970,-405
20150717,41050,41030,41040,70
20150720,40430,40400,40415,-625
20150721,40630,40610,40620,205
20150722,40400,40380,40390,-230
20150723,39860,39840,39850,-540
20150724,39010,38990,39000,-850
20150727,39310,39290,39300,300
20150728,38960,38920,38940,-360
20150729,39810,39750,39780,840
20150730,39520,39460,39490,-290
20150731,39040,39020,39030,-460
20150803,38940,38920,38930,-100
20150804,38490,38460,38475,-455
20150805,38540,38520,38530,55
20150806,38650,38620,38635,105
20150807,38390,38370,38380,-255
20150810,38290,38270,38280,-100
20150811,39520,39500,39510,1230
20150812,39190,39170,39180,-330
20150813,39650,39620,39635,455
20150814,39530,39510,39520,-115
20150817,39270,39250,39260,-260
20150818,39210,39190,39200,-60
20150819,38820,38800,38810,-390
20150820,38790,38770,38780,-30
20150821,39220,39190,39205,425
20150824,38530,38510,38520,-685
20150825,39190,39170,39180,660
20150826,39350,39330,39340,160
20150827,39090,39070,39080,-260
20150828,39560,39540,39550,470
20150831,39320,39300,39310,-240
20150901,39400,39380,39390,80
20150902,39260,39240,39250,-140
20150907,39460,39430,39445,195
20150908,39600,39580,39590,145
20150909,40920,40900,40910,1320
20150910,40890,40870,40880,-30
20150911,41190,41150,41170,290
20150914,41140,41120,41130,-40
20150915,40720,40700,40710,-420
20150916,40760,40740,40750,40
20150917,41160,41140,41150,400
20150918,40940,40920,40930,-220
20150921,40160,40140,40150,-780
20150922,40220,40200,40210,60
20150923,38890,38870,38880,-1330
20150924,39030,39010,39020,140
20150925,39160,39100,39130,110
20150928,38820,38800,38810,-320
20150929,38120,38100,38110,-700
20150930,38340,38320,38330,220
20151008,39490,39460,39475,1145
20151009,39580,39550,39565,90
20151012,40230,40210,40220,655
20151013,39790,39750,39770,-450
20151014,39770,39750,39760,-10
20151015,40210,40190,40200,440
20151016,40040,40020,40030,-170
20151019,39640,39620,39630,-400
20151020,39260,39230,39245,-385
20151021,39020,39000,39010,-235
20151022,39250,39230,39240,230
20151023,39580,39560,39570,330
20151026,39170,39150,39160,-410
20151027,39030,39010,39020,-140
20151028,39140,39120,39130,110
20151029,39110,39090,39100,-30
20151030,38780,38760,38770,-330
20151102,38660,38620,38640,-130
20151103,38700,38680,38690,50
20151104,38800,38780,38790,100
20151105,38710,38690,38700,-90
20151106,38050,38030,38040,-660
20151109,38010,37990,38000,-40
20151110,37590,37570,37580,-420
20151111,37580,37560,37570,-10
20151112,37410,37390,37400,-170
20151113,36710,36690,36700,-700
20151116,36460,36420,36440,-260
20151117,35350,35310,35330,-1110
20151118,34860,34820,34840,-490
20151119,34850,34810,34830,-10
20151120,34750,34710,34730,-100
20151123,33910,33850,33880,-850
20151124,33560,33520,33540,-340
20151125,34580,34550,34565,1025
20151126,35010,34990,35000,435
20151127,35200,35180,35190,190
20151130,34680,34660,34670,-520
20151201,35330,35310,35320,650
20151202,35630,35610,35620,300
20151203,35080,35060,35070,-550
20151204,34960,34940,34950,-120
20151207,35510,35490,35500,550
20151208,34930,34910,34920,-580
20151209,35300,35280,35290,370
20151210,35330,35310,35320,30
20151211,35350,35330,35340,20
20151214,36400,36380,36390,1050
20151215,36260,36240,36250,-140
20151216,35560,35520,35540,-710
20151217,35570,35550,35560,20
20151218,35430,35410,35420,-140
20151221,36010,35990,36000,580
20151222,36300,36280,36290,290
20151223,36090,36070,36080,-210
20151224,36330,36310,36320,240
20151225,36320,36300,36310,-10
20151228,36220,36200,36210,-100
20151229,35990,35970,35980,-230
20151230,36520,36500,36510,530
20151231,36670,36650,36660,150
20160104,36260,36240,36250,-410
20160105,36210,36190,36200,-50
20160106,36330,36310,36320,120
20160107,36290,36270,36280,-40
20160108,35850,35830,35840,-440
20160111,35450,35390,35420,-420
20160112,35010,34970,34990,-430
20160113,34930,34890,34910,-80
20160114,34910,34870,34890,-20
20160115,35040,35000,35020,130
20160118,34920,34880,34900,-120
20160119,34870,34820,34845,-55
20160120,35020,35000,35010,165
20160121,35050,35030,35040,30
20160122,35060,35040,35050,10
20160125,34870,34850,34860,-190
20160126,34880,34860,34870,10
20160127,35470,35450,35460,590
20160128,35580,35560,35570,110
20160129,35430,35410,35420,-150
20160201,35300,35280,35290,-130
20160202,35230,35150,35190,-100
20160203,35200,35160,35180,-10
20160204,35990,35950,35970,790
20160205,35980,35940,35960,-10
20160215,35550,35500,35525,-435
20160216,35650,35600,35625,100
20160217,35340,35320,35330,-295
20160218,35400,35380,35390,60
20160219,35370,35350,35360,-30
20160222,35880,35860,35870,510
20160223,35940,35910,35925,55
20160224,35800,35770,35785,-140
20160225,35940,35890,35915,130
20160226,35590,35550,35570,-345
20160229,35890,35850,35870,300
20160301,35590,35540,35565,-305
20160302,36090,36070,36080,515
20160303,36610,36590,36600,520
20160304,37160,37120,37140,540
20160307,37780,37750,37765,625
20160308,37340,37300,37320,-445
20160309,36710,36690,36700,-620
20160310,36970,36950,36960,260
20160311,37070,37050,37060,100
20160314,37580,37560,37570,510
20160315,37030,37010,37020,-550
20160316,37090,37070,37080,60
20160317,37560,37540,37550,470
20160318,38180,38160,38170,620
20160321,37970,37950,37960,-210
20160322,37850,37830,37840,-120
20160323,38090,38070,38080,240
20160324,37430,37410,37420,-660
20160325,37540,37520,37530,110
20160328,37660,37640,37650,120
20160329,37630,37610,37620,-30
20160330,37380,37360,37370,-250
20160331,36770,36750,36760,-610
20160401,36910,36890,36900,140
20160405,36660,36640,36650,-250
20160406,36700,36680,36690,40
20160407,36770,36750,36760,70
20160408,35960,35940,35950,-810
20160411,36020,36000,36010,60
20160412,35910,35890,35900,-110
20160413,37120,37100,37110,1210
20160414,36760,36740,36750,-360
20160415,36940,36920,36930,180
20160418,36850,36830,36840,-90
20160419,36750,36730,36740,-100
20160420,37350,37330,37340,600
20160421,37430,37410,37420,80
20160422,37740,37720,37730,310
20160425,37850,37830,37840,110
20160426,37780,37760,37770,-70
20160427,37530,37510,37520,-250
20160428,37110,37090,37100,-420
20160429,37400,37380,37390,290
20160503,37380,37360,37370,-20
20160504,37090,37070,37080,-290
20160505,36930,36910,36920,-160
20160506,36520,36500,36510,-410
20160509,36060,36040,36050,-460
20160510,35880,35860,35870,-180
20160511,35810,35790,35800,-70
20160512,35960,35940,35950,150
20160513,35400,35380,35390,-560
20160516,35490,35470,35480,90
20160517,35670,35650,35660,180
20160518,35770,35750,35760,100
20160519,35540,35520,35530,-230
20160520,35370,35350,35360,-170
20160523,35200,35180,35190,-170
20160524,35320,35300,35310,120
20160525,35600,35580,35590,280
20160526,35980,35960,35970,380
20160527,35820,35800,35810,-160
20160530,35810,35790,35800,-10
20160531,35920,35900,35910,110
20160601,35500,35480,35490,-420
20160602,35440,35420,35430,-60
20160603,35670,35650,35660,230
20160606,36320,36300,36310,650
20160607,36170,36150,36160,-150
20160608,35680,35660,35670,-490
20160613,35570,35550,35560,-110
20160614,35650,35630,35640,80
20160615,35430,35410,35420,-220
20160616,35880,35860,35870,450
20160617,35610,35590,35600,-270
20160620,35740,35720,35730,130
20160621,35910,35890,35900,170
20160622,36030,36010,36020,120
20160623,36240,36220,36230,210
20160624,36460,36420,36440,210
20160627,36500,36480,36490,50
20160628,36970,36950,36960,470
20160629,37190,37170,37180,220
20160630,37580,37560,37570,390
20160701,37480,37460,37470,-100
20160704,38300,38280,38290,820
20160705,37630,37610,37620,-670
20160706,37380,37360,37370,-250
20160707,37290,37270,37280,-90
20160708,36690,36670,36680,-600
20160711,36850,36810,36830,150
20160712,37160,37140,37150,320
20160713,38200,38180,38190,1040
20160714,38430,38410,38420,230
20160715,38380,38360,38370,-50
20160718,37970,37950,37960,-410
20160719,38290,38270,38280,320
20160720,38230,38210,38220,-60
20160721,38460,38440,38450,230
20160722,38470,38450,38460,10
20160725,38160,38140,38150,-310
20160726,37810,37790,37800,-350
20160727,38010,37990,38000,200
20160728,37810,37790,37800,-200
20160729,37840,37820,37830,30
20160801,37930,37910,37920,90
20160802,37900,37880,37890,-30
20160803,37980,37940,37960,70
20160804,37830,37770,37800,-160
20160805,37650,37610,37630,-170
20160808,37680,37600,37640,10
20160809,37410,37330,37370,-270
20160810,37390,37310,37350,-20
20160811,37500,37440,37470,120
20160812,37530,37470,37500,30
20160815,37250,37230,37240,-260
20160816,37120,37100,37110,-130
20160817,37250,37230,37240,130
20160818,37260,37240,37250,10
20160819,37220,37180,37200,-50
20160822,37220,37200,37210,10
20160823,37110,37090,37100,-110
20160824,36800,36780,36790,-310
20160825,36280,36260,36270,-520
20160826,36400,36380,36390,120
20160829,36450,36430,36440,50
20160830,36500,36480,36490,50
20160831,36400,36380,36390,-100
20160901,36540,36520,36530,140
20160902,36660,36640,36650,120
20160905,36690,36670,36680,30
20160906,36660,36620,36640,-40
20160907,36870,36850,36860,220
20160908,36810,36790,36800,-60
20160909,36770,36750,36760,-40
20160912,36430,36410,36420,-340
20160913,36740,36720,36730,310
20160914,36870,36850,36860,130
20160919,37200,37180,37190,330
20160920,37320,37300,37310,120
20160921,37390,37370,37380,70
20160922,37740,37720,37730,350
20160923,37840,37820,37830,100
20160926,37890,37870,37880,50
20160927,37670,37650,37660,-220
20160928,37690,37670,37680,20
20160929,38090,38070,38080,400
20160930,37880,37860,37870,-210
20161010,37780,37760,37770,-100
20161011,38170,38150,38160,390
20161012,38190,38150,38170,10
20161013,38090,38070,38080,-90
20161014,37650,37630,37640,-440
20161017,37480,37460,37470,-170
20161018,37440,37420,37430,-40
20161019,37470,37450,37460,30
20161020,37510,37490,37500,40
20161021,37420,37400,37410,-90
20161024,37580,37560,37570,160
20161025,38300,38280,38290,720
20161026,38260,38240,38250,-40
20161027,38070,38050,38060,-190
20161028,38440,38420,38430,370
20161031,38580,38560,38570,140
20161101,38840,38820,38830,260
20161102,38950,38930,38940,110
20161103,39010,38990,39000,60
20161104,39260,39240,39250,250
20161107,39900,39880,39890,640
20161108,40430,40410,40420,530
20161109,41520,41500,41510,1090
20161110,45000,44980,44990,3480
20161111,44910,44890,44900,-90
20161114,46370,46350,46360,1460
20161115,46110,46090,46100,-260
20161116,44220,44200,44210,-1890
20161117,43870,43850,43860,-350
20161118,43880,43860,43870,10
20161121,44420,44400,44410,540
20161122,45630,45610,45620,1210
20161123,45700,45680,45690,70
20161124,48400,48380,48390,2700
20161125,47710,47690,47700,-690
20161128,48460,48440,48450,750
20161129,47350,47330,47340,-1110
20161130,46480,46460,46470,-870
20161201,46760,46740,46750,280
20161202,46460,46440,46450,-300
20161205,47020,47000,47010,560
20161206,47520,47500,47510,500
20161207,47460,47440,47450,-60
20161208,46950,46930,46940,-510
20161209,46910,46890,46900,-40
20161212,47530,47490,47510,610
20161213,46780,46760,46770,-740
20161214,46370,46290,46330,-440
20161215,46730,46670,46700,370
20161216,46560,46500,46530,-170
20161219,45870,45790,45830,-700
20161220,44750,44670,44710,-1120
20161221,45070,45010,45040,330
20161222,44830,44770,44800,-240
20161223,44670,44650,44660,-140
20161226,43590,43570,43580,-1080
20161227,44100,44060,44080,500
20161228,45460,45420,45440,1360
20161229,45120,45100,45110,-330
20161230,44990,44970,44980,-130
20170103,45710,45690,45700,720
20170104,44830,44810,44820,-880
20170105,45500,45460,45480,660
20170106,45290,45230,45260,-220
20170109,45440,45400,45420,160
20170110,45490,45450,45470,50
20170111,46820,46780,46800,1330
20170112,46920,46880,46900,100
20170113,47370,47330,47350,450
20170116,47660,47600,47630,280
20170117,47070,47050,47060,-570
20170118,46280,46220,46250,-810
20170119,46560,46500,46530,280
20170120,46480,46380,46430,-100
20170123,46950,46910,46930,500
20170124,46950,46910,46930,0
20170125,47430,47330,47380,450
20170126,47490,47430,47460,80
20170203,46770,46730,46750,-710
20170206,46470,46430,46450,-300
20170207,46650,46590,46620,170
20170208,47270,47210,47240,620
20170209,47260,47220,47240,0
20170210,46870,46830,46850,-390
20170213,49600,49560,49580,2730
20170214,49350,49250,49300,-280
20170215,48810,48710,48760,-540
20170216,48910,48810,48860,100
20170217,48430,48330,48380,-480
20170220,48290,48190,48240,-140
20170221,48960,48880,48920,680
20170222,48620,48540,48580,-340
20170223,48370,48290,48330,-250
20170224,47240,47160,47200,-1130
20170227,47780,47700,47740,540
20170228,47620,47540,47580,-160
20170301,47870,47790,47830,250
20170302,48370,48290,48330,500
20170303,47760,47680,47720,-610
20170306,47990,47910,47950,230
20170307,47360,47280,47320,-630
20170308,47030,46930,46980,-340
20170309,46570,46470,46520,-460
20170310,46330,46230,46280,-240
20170313,46720,46620,46670,390
20170314,46960,46860,46910,240
20170315,47250,47150,47200,290
20170316,47590,47530,47560,360
20170317,47630,47570,47600,40
20170320,47610,47550,47580,-20
20170321,47110,47050,47080,-500
20170322,46390,46310,46350,-730
20170323,46840,46800,46820,470
20170324,46690,46650,46670,-150
20170327,46120,46080,46100,-570
20170328,46540,46500,46520,420
20170329,47100,47060,47080,560
20170330,47130,47090,47110,30
20170331,47340,47300,47320,210
20170405,47160,47100,47130,-190
20170406,47660,47600,47630,500
20170407,47590,47550,47570,-60
20170410,47070,47050,47060,-510
20170411,46800,46780,46790,-270
20170412,46650,46610,46630,-160
20170413,45880,45860,45870,-760
20170414,45850,45750,45800,-750
20170417,46370,46350,46360,500
20170418,46360,46340,46350,-10
20170419,45990,45970,45980,-370
20170420,45560,45540,45550,-430
20170421,45890,45870,45880,330
20170424,45830,45810,45820,-60
20170425,46080,46060,46070,250
20170426,46160,46140,46150,80
20170427,46200,46180,46190,40
20170428,46250,46230,46240,50
20170502,46880,46860,46870,630
20170503,46620,46600,46610,-260
20170504,45500,45480,45490,-1120
20170505,45280,45260,45270,-220
20170508,45030,45010,45020,-250
20170509,44850,44830,44840,-180
20170510,44990,44970,44980,140
20170511,45000,44980,44990,10
20170512,44960,44940,44950,-40
20170515,44960,44900,44930,-30
20170516,45210,45190,45200,-10
20170517,45380,45360,45370,170
20170518,44970,44950,44960,-410
20170519,45280,45260,45270,310
20170522,45840,45820,45830,560
20170523,45910,45890,45900,70
20170524,45760,45740,45750,-150
20170525,45760,45700,45730,-130
20170526,45840,45820,45830,-10
20170531,45540,45520,45530,-300
20170601,45240,45220,45230,-300
20170602,45280,45260,45270,40
20170605,45300,45260,45280,10
20170606,45110,45090,45100,-180
20170607,45130,45110,45120,20
20170608,44960,44940,44950,-170
20170609,45750,45730,45740,790
20170612,46240,46220,46230,490
20170613,45960,45920,45940,-290
20170614,45570,45550,45560,-380
20170615,45490,45470,45480,-80
20170616,45600,45580,45590,110
20170619,45380,45360,45370,-220
20170620,45640,45620,45630,260
20170621,45380,45360,45370,-260
20170622,45890,45870,45880,510
20170623,45880,45860,45870,-10
20170626,46350,46330,46340,470
20170627,46350,46330,46340,0
20170628,46570,46530,46550,210
20170629,47210,47190,47200,650
20170630,47140,47120,47130,-70
20170703,47150,47130,47140,10
20170704,46980,46960,46970,-170
20170705,47140,47120,47130,160
20170706,46800,46780,46790,-340
20170707,46780,46760,46770,-20
20170710,46820,46800,46810,40
20170711,46730,46710,46720,-90
20170712,47080,47020,47050,330
20170713,47020,47000,47010,-40
20170714,46920,46900,46910,-100
20170717,47200,47180,47190,280
20170718,47740,47720,47730,540
20170719,47570,47550,47560,-170
20170720,47610,47590,47600,40
20170721,47720,47700,47710,110
20170724,47750,47730,47740,30
20170725,48060,48040,48050,310
20170726,49540,49520,49530,1480
20170727,49910,49890,49900,370
20170728,49930,49910,49920,20
20170731,50260,50240,50250,330
20170801,50240,50220,50230,-20
20170802,49960,49940,49950,-280
20170803,50290,50270,50280,330
20170804,50240,50220,50230,-50
20170807,50050,50030,50040,-190
20170808,50460,50440,50450,410
20170809,50830,50810,50820,370
20170810,50640,50620,50630,-190
20170811,49870,49850,49860,-770
20170814,50060,50040,50050,190
20170815,50130,50110,50120,70
20170816,49960,49940,49950,-170
20170817,51130,51110,51120,1170
20170818,50540,50520,50530,-590
20170821,50900,50880,50890,360
20170822,51350,51330,51340,450
20170823,51190,51170,51180,-160
20170824,51520,51500,51510,330
20170825,52280,52260,52270,760
20170828,52340,52320,52330,60
20170829,52690,52670,52680,350
20170830,52640,52620,52630,-50
20170831,52700,52680,52690,60
20170901,52640,52620,52630,-60
20170904,53200,53180,53190,560
20170905,53320,53300,53310,120
20170906,52980,52960,52970,-340
20170907,53160,53140,53150,180
20170908,52690,52670,52680,-470
20170911,51230,51210,51220,-1460
20170912,51490,51450,51470,250
20170913,51310,51290,51300,-170
20170914,50600,50580,50590,-710
20170915,50510,50470,50490,-100
20170918,50600,50580,50590,100
20170919,50880,50860,50870,280
20170920,50810,50790,50800,-70
20170921,50350,50330,50340,-460
20170922,49790,49770,49780,-560
20170925,50490,50470,50480,700
20170926,50850,50830,50840,360
20170927,50460,50440,50450,-390
20170928,50550,50530,50540,90
20170929,51500,51460,51480,940
20171009,52510,52490,52500,1020
20171010,52520,52500,52510,10
20171011,52750,52730,52740,230
20171012,53650,53630,53640,900
20171013,53690,53670,53680,40
20171016,53780,53760,53770,90
20171017,55710,55670,55690,1920
20171018,55420,55380,55400,-290
20171019,54930,54890,54910,-490
20171020,54980,54920,54950,40
20171023,55040,55000,55020,70
20171024,56090,56070,56080,1060
20171025,55630,55610,55620,-460
20171026,55280,55240,55260,-360
20171027,54700,54680,54690,-570
20171030,53740,53720,53730,-960
20171031,53750,53730,53740,10
20171101,54650,54630,54640,900
20171102,54350,54330,54340,-300
20171103,54500,54460,54480,140
20171106,54390,54370,54380,-100
20171107,54620,54580,54600,220
20171108,53800,53780,53790,-810
20171109,53690,53670,53680,-110
20171110,53480,53440,53460,-220
20171113,53450,53430,53440,-20
20171114,53980,53960,53970,530
20171115,52900,52880,52890,-1080
20171116,53020,53000,53010,120
20171117,52840,52800,52820,-190
20171120,52950,52930,52940,120
20171121,53210,53190,53200,260
20171122,53830,53790,53810,610
20171123,53790,53770,53780,-30
20171124,53980,53960,53970,190
